product,sample,n,hurst,interpretation,min_lag,max_lag,lag_count,fit_r2
ASH_COATED_OSMIUM,day -2,10000,0.002036254547075409,mean-reverting,2,499,36,0.49431638856512383
ASH_COATED_OSMIUM,day -1,10000,-0.0015733541710538112,mean-reverting,2,499,36,0.09180387072439733
ASH_COATED_OSMIUM,day 0,10000,0.001675503376160333,mean-reverting,2,499,36,0.4567967397259657
ASH_COATED_OSMIUM,"combined days -2,-1,0",30000,0.0005655195049065986,mean-reverting,2,499,36,0.09199988943887727
INTARIAN_PEPPER_ROOT,day -2,10000,0.0007181790390875607,mean-reverting,2,499,36,0.03174317219168454
INTARIAN_PEPPER_ROOT,day -1,10000,0.0009582411350755987,mean-reverting,2,499,36,0.10718154856551643
INTARIAN_PEPPER_ROOT,day 0,10000,0.0010915654812639123,mean-reverting,2,499,36,0.10847728288642378
INTARIAN_PEPPER_ROOT,"combined days -2,-1,0",30000,0.0014814731735758263,mean-reverting,2,499,36,0.4599784285450583
