product,sample,n,start_mid,end_mid,net_change,intercept,slope_per_tick,slope_per_100_timestamp_units,slope_over_sample,r_squared,p_value,std_err,residual_std,residual_min,residual_max
ASH_COATED_OSMIUM,day -2,9187,10000.0,9993.5,-6.5,9998.804164832962,-0.00013986817627379775,-0.00013986817627379775,-1.284829067251106,0.00616048475154421,4.933891954380317e-14,1.8536597446449047e-05,4.711685861193834,-13.876447949916837,13.262971891650523
ASH_COATED_OSMIUM,day -1,9225,9992.0,10002.0,10.0,10001.228933842558,-8.572933804341615e-05,-8.572933804341615e-05,-0.7907674141124706,0.0035621061350673768,9.651683280180057e-09,1.4930180420411825e-05,3.8185673048098634,-14.071989925130765,12.813132761890301
ASH_COATED_OSMIUM,day 0,9232,10003.0,10007.0,4.0,10000.887032688395,0.00015936087889955087,0.00015936087889955087,1.4710602731217541,0.006615674882461015,4.995694175355415e-15,2.0326024281393195e-05,5.204535596245464,-20.450925915929474,15.308035512283823
ASH_COATED_OSMIUM,"combined days -2,-1,0",27644,10000.0,10007.0,7.0,9997.937137002647,0.00016438057623138723,0.00016438057623138723,4.543972268764237,0.0729101696193996,0.0,3.5255966227869105e-06,4.677733430301008,-20.56111689913996,15.206001537235352
INTARIAN_PEPPER_ROOT,day -2,9216,9998.5,11001.5,1003.0,10001.940146900768,0.10822070762689069,0.10822070762689069,997.2538207817977,0.9999778493397267,0.0,5.30620975338742e-06,1.3551392405660403,-7.1246755144184135,6.754963456301994
INTARIAN_PEPPER_ROOT,day -1,9219,10998.5,11998.0,999.5,11003.290527226263,0.1080752067215672,0.1080752067215672,996.2372555594064,0.9999683818195525,0.0,6.330041888184249e-06,1.6174025468798254,-8.10623467986079,7.5259184937440295
INTARIAN_PEPPER_ROOT,day 0,9253,11998.5,13000.0,1001.5,12001.888578336186,0.10788467676496277,0.10788467676496277,998.1490294294356,0.9999716021855709,0.0,5.977423811236221e-06,1.5357615683337456,-8.515434625162015,8.418684309075616
INTARIAN_PEPPER_ROOT,"combined days -2,-1,0",27688,9998.5,13000.0,3001.5,10002.18223484571,0.10836377193825379,0.10836377193825379,3000.267753654433,0.9999950058510573,0.0,1.4554116131689957e-06,1.935640716770835,-9.863354108649219,9.085643584961872
