sample,n,start_mid,end_mid,net_change,ols_intercept,ols_slope_per_tick,ols_slope_per_day,ols_r2,ols_p_value,raw_adf_stat,raw_adf_p_value,raw_adf_lag,detrended_adf_stat,detrended_adf_p_value,detrended_adf_lag,residual_std,residual_min,residual_max,detrended_stationary_5pct
day -2,9216,9998.5,11001.5,1003.0,10001.940146900768,0.10822070762689069,997.2538207817977,0.9999778493397267,0.0,-0.22681381930497216,0.9352490923565219,37,-4.255848131292185,0.0005292627656097823,37,1.3551392405660403,-7.1246755144184135,6.754963456301994,True
day -1,9219,10998.5,11998.0,999.5,11003.290527226263,0.1080752067215672,996.2372555594064,0.9999683818195525,0.0,-0.8560508117553304,0.8021009252623217,38,-3.9473394652264666,0.001712798651741008,38,1.6174025468798254,-8.10623467986079,7.5259184937440295,True
day 0,9253,11998.5,13000.0,1001.5,12001.888578336186,0.10788467676496277,998.1490294294356,0.9999716021855709,0.0,-0.4890070332756921,0.8941439067521915,37,-4.3274119806514335,0.00039808635513208446,37,1.5357615683337456,-8.515434625162015,8.418684309075616,True
"combined days -2,-1,0",27688,9998.5,13000.0,3001.5,10002.18223484571,0.10836377193825379,3000.267753654433,0.9999950058510573,0.0,-0.9518092239115652,0.7704327470934356,49,-3.049796397213088,0.03049853285321632,49,1.935640716770835,-9.863354108649219,9.085643584961872,True
