product,sample,n,adf_stat,p_value,used_lag,nobs,crit_1%,crit_5%,crit_10%,icbest,stationary_5pct
ASH_COATED_OSMIUM,day -2,10000,-100.1846,0,0,9999,-3.4310042,-2.8618291,-2.5669239,148825.98,True
ASH_COATED_OSMIUM,day -1,10000,-100.20163,0,0,9999,-3.4310042,-2.8618291,-2.5669239,148262.66,True
ASH_COATED_OSMIUM,day 0,10000,-100.09526,0,0,9999,-3.4310042,-2.8618291,-2.5669239,146334.34,True
ASH_COATED_OSMIUM,"combined days -2,-1,0",30000,-173.49829,0,0,29999,-3.430568,-2.8616364,-2.5668213,444498.11,True
INTARIAN_PEPPER_ROOT,day -2,10000,-3.5049114,0.0078618503,38,9961,-3.4310067,-2.8618302,-2.5669245,148828.95,True
INTARIAN_PEPPER_ROOT,day -1,10000,-3.7017698,0.0040883292,38,9961,-3.4310067,-2.8618302,-2.5669245,151193.11,True
INTARIAN_PEPPER_ROOT,day 0,10000,-4.7528929,6.6868568e-05,38,9961,-3.4310067,-2.8618302,-2.5669245,154931.88,True
INTARIAN_PEPPER_ROOT,"combined days -2,-1,0",30000,-1.9138815,0.32555926,50,29949,-3.4305684,-2.8616365,-2.5668214,456732.76,False
