strategy,dataset,day,total_pnl,osmium_pnl,pepper_root_pnl,osmium_position,pepper_root_position
s9700_pepper_passive_5k_bid0.py,R2,1,8493.0,1518.0,6975.0,25,80
s9700_pepper_passive_5k_bid1.py,R1,-2,9931.0,2527.0,7404.0,-50,80
s9700_pepper_passive_5k_bid1.py,R1,-1,9080.0,1687.0,7393.0,-74,80
s9700_pepper_passive_5k_bid1.py,R1,0,9301.0,2076.0,7225.0,25,80
s9700_pepper_passive_5k_bid1.py,R2,-1,9365.0,2219.0,7146.0,33,80
s9700_pepper_passive_5k_bid1.py,R2,0,8953.0,2016.0,6937.0,28,80
s9700_pepper_passive_5k_bid1.py,R2,1,8488.0,1518.0,6970.0,25,80
s9700_pepper_passive_10k_bid1.py,R1,-2,9753.0,2527.0,7226.0,-50,80
s9700_pepper_passive_10k_bid1.py,R1,-1,8945.0,1687.0,7258.0,-74,80
s9700_pepper_passive_10k_bid1.py,R1,0,9275.0,2076.0,7199.0,25,80
s9700_pepper_passive_10k_bid1.py,R2,-1,9313.0,2219.0,7094.0,33,80
s9700_pepper_passive_10k_bid1.py,R2,0,8871.0,2016.0,6855.0,28,80
s9700_pepper_passive_10k_bid1.py,R2,1,8155.0,1518.0,6637.0,25,80
s9700_pepper_passive_20k_bid1.py,R1,-2,9763.0,2527.0,7236.0,-50,80
s9700_pepper_passive_20k_bid1.py,R1,-1,8785.0,1687.0,7098.0,-74,80
s9700_pepper_passive_20k_bid1.py,R1,0,9239.0,2076.0,7163.0,25,80
s9700_pepper_passive_20k_bid1.py,R2,-1,9264.0,2219.0,7045.0,33,80
s9700_pepper_passive_20k_bid1.py,R2,0,8827.0,2016.0,6811.0,28,80
s9700_pepper_passive_20k_bid1.py,R2,1,7517.0,1518.0,5999.0,25,80
s9700_pepper_passive_10k_bid2.py,R1,-2,9739.0,2527.0,7212.0,-50,80
s9700_pepper_passive_10k_bid2.py,R1,-1,8937.0,1687.0,7250.0,-74,80
s9700_pepper_passive_10k_bid2.py,R1,0,9264.0,2076.0,7188.0,25,80
s9700_pepper_passive_10k_bid2.py,R2,-1,9308.0,2219.0,7089.0,33,80
s9700_pepper_passive_10k_bid2.py,R2,0,8866.0,2016.0,6850.0,28,80
s9700_pepper_passive_10k_bid2.py,R2,1,8150.0,1518.0,6632.0,25,80
